Student_ID,Name,Math_Score,Science_Score,English_Score
348,Student_348,65,81,82
349,Student_349,42,70,90
350,Student_350,67,87,64
351,Student_351,54,52,50
352,Student_352,60,71,93
353,Student_353,97,41,83
354,Student_354,80,70,92
355,Student_355,61,55,40
356,Student_356,96,45,75
357,Student_357,60,89,44
358,Student_358,61,82,54
359,Student_359,85,65,47
360,Student_360,65,52,59
361,Student_361,90,50,65
362,Student_362,55,45,52
363,Student_363,97,43,90
364,Student_364,71,67,83
365,Student_365,48,76,71
366,Student_366,96,71,80
367,Student_367,56,51,96
368,Student_368,47,96,90
369,Student_369,95,53,67
370,Student_370,66,49,98
371,Student_371,95,91,49
372,Student_372,86,94,59
373,Student_373,94,88,76
374,Student_374,88,66,46
375,Student_375,63,96,43
376,Student_376,62,94,65
377,Student_377,52,81,50
378,Student_378,97,90,91
379,Student_379,52,40,68
380,Student_380,97,59,43
381,Student_381,53,90,86
382,Student_382,85,94,72
383,Student_383,88,59,83
384,Student_384,99,76,70
385,Student_385,62,48,86
386,Student_386,63,88,92
387,Student_387,73,49,47
388,Student_388,79,96,84
389,Student_389,50,80,45
390,Student_390,89,58,48
391,Student_391,74,52,44
392,Student_392,68,74,87
393,Student_393,84,90,99
394,Student_394,58,83,59
395,Student_395,48,77,51
396,Student_396,79,58,73
397,Student_397,44,78,51
398,Student_398,86,77,49
399,Student_399,97,63,59
400,Student_400,44,62,98
401,Student_401,63,56,93
402,Student_402,47,75,66
403,Student_403,86,42,46
404,Student_404,88,64,93
405,Student_405,61,52,45
406,Student_406,72,82,75
407,Student_407,85,80,75
408,Student_408,88,76,45
409,Student_409,65,96,93
410,Student_410,51,80,72
411,Student_411,85,52,58
412,Student_412,88,68,49
413,Student_413,60,98,49
414,Student_414,41,49,68
415,Student_415,86,81,80
416,Student_416,91,45,70
417,Student_417,58,57,97
418,Student_418,90,48,68
419,Student_419,51,76,75
420,Student_420,45,91,68
421,Student_421,45,67,45
422,Student_422,87,89,47
423,Student_423,95,47,61
424,Student_424,76,79,83
425,Student_425,68,93,68
426,Student_426,89,93,59
427,Student_427,48,63,54
428,Student_428,50,96,67
429,Student_429,51,63,90
430,Student_430,66,99,63
431,Student_431,54,62,63
432,Student_432,92,60,51
433,Student_433,41,49,73
434,Student_434,44,48,51
435,Student_435,49,47,82
436,Student_436,75,57,66
437,Student_437,70,93,42
438,Student_438,47,89,87
439,Student_439,59,97,63
440,Student_440,62,45,88
441,Student_441,60,81,64
442,Student_442,53,48,59
443,Student_443,55,50,90
444,Student_444,47,65,61
445,Student_445,94,68,70
446,Student_446,60,74,55
447,Student_447,64,92,68
448,Student_448,56,58,71
449,Student_449,78,48,79
450,Student_450,82,74,70
451,Student_451,69,95,40
452,Student_452,82,83,83
453,Student_453,58,68,90
454,Student_454,77,51,97
455,Student_455,77,56,87
456,Student_456,58,69,86
457,Student_457,64,80,90
458,Student_458,56,96,52
459,Student_459,59,84,81
460,Student_460,60,68,44
461,Student_461,75,77,63
462,Student_462,51,40,58
463,Student_463,77,72,80
464,Student_464,85,57,68
465,Student_465,98,80,70
466,Student_466,44,48,91
467,Student_467,98,52,98
468,Student_468,40,87,49
469,Student_469,49,68,80
470,Student_470,44,58,42
471,Student_471,55,76,48
472,Student_472,97,58,93
473,Student_473,72,91,88
474,Student_474,89,55,81
475,Student_475,67,98,47
476,Student_476,61,80,83
477,Student_477,92,85,52
478,Student_478,62,77,51
479,Student_479,41,86,70
480,Student_480,60,85,78
481,Student_481,40,85,51
482,Student_482,73,97,78
483,Student_483,63,82,76
484,Student_484,97,92,41
485,Student_485,48,51,86
486,Student_486,74,42,62
487,Student_487,63,61,46
488,Student_488,98,88,94
489,Student_489,82,88,51
490,Student_490,45,91,91
491,Student_491,94,67,65
492,Student_492,54,76,62
493,Student_493,87,99,43
494,Student_494,40,94,68
495,Student_495,97,55,53
496,Student_496,44,73,98
497,Student_497,64,53,98
498,Student_498,72,90,91
499,Student_499,57,54,64
500,Student_500,89,81,50
